ß,0,0,15000,名詞,サ変接続,*,*,*,*,ß,エスツェット,エスツェット,0/6,C0
à,0,0,15000,名詞,サ変接続,*,*,*,*,à,エー,エー,0/2,C0
á,0,0,15000,名詞,サ変接続,*,*,*,*,á,エー,エー,0/2,C0
â,0,0,15000,名詞,サ変接続,*,*,*,*,â,エー,エー,0/2,C0
ä,0,0,15000,名詞,サ変接続,*,*,*,*,ä,エー,エー,0/2,C0
å,0,0,15000,名詞,サ変接続,*,*,*,*,å,エー,エー,0/2,C0
æ,0,0,15000,名詞,サ変接続,*,*,*,*,æ,エーイー,エーイー,0/4,C0
ç,0,0,15000,名詞,サ変接続,*,*,*,*,ç,シー,シー,0/2,C0
è,0,0,15000,名詞,サ変接続,*,*,*,*,è,イー,イー,0/2,C0
é,0,0,15000,名詞,サ変接続,*,*,*,*,é,イー,イー,0/2,C0
ê,0,0,15000,名詞,サ変接続,*,*,*,*,ê,イー,イー,0/2,C0
ë,0,0,15000,名詞,サ変接続,*,*,*,*,ë,イー,イー,0/2,C0
ì,0,0,15000,名詞,サ変接続,*,*,*,*,ì,アイ,アイ,0/2,C0
í,0,0,15000,名詞,サ変接続,*,*,*,*,í,アイ,アイ,0/2,C0
î,0,0,15000,名詞,サ変接続,*,*,*,*,î,アイ,アイ,0/2,C0
ï,0,0,15000,名詞,サ変接続,*,*,*,*,ï,アイ,アイ,0/2,C0
ñ,0,0,15000,名詞,サ変接続,*,*,*,*,ñ,エヌ,エヌ,0/2,C0
ò,0,0,15000,名詞,サ変接続,*,*,*,*,ò,オー,オー,0/2,C0
ó,0,0,15000,名詞,サ変接続,*,*,*,*,ó,オー,オー,0/2,C0
ô,0,0,15000,名詞,サ変接続,*,*,*,*,ô,オー,オー,0/2,C0
ö,0,0,15000,名詞,サ変接続,*,*,*,*,ö,オー,オー,0/2,C0
ø,0,0,15000,名詞,サ変接続,*,*,*,*,ø,オー,オー,0/2,C0
ù,0,0,15000,名詞,サ変接続,*,*,*,*,ù,ユー,ユー,0/2,C0
ú,0,0,15000,名詞,サ変接続,*,*,*,*,ú,ユー,ユー,0/2,C0
û,0,0,15000,名詞,サ変接続,*,*,*,*,û,ユー,ユー,0/2,C0
ü,0,0,15000,名詞,サ変接続,*,*,*,*,ü,ユー,ユー,0/2,C0
ý,0,0,15000,名詞,サ変接続,*,*,*,*,ý,ワイ,ワイ,0/2,C0
ÿ,0,0,15000,名詞,サ変接続,*,*,*,*,ÿ,ワイ,ワイ,0/2,C0
Ā,0,0,15000,名詞,サ変接続,*,*,*,*,Ā,オオモジエー,オオモジエー,0/6,C0
ā,0,0,15000,名詞,サ変接続,*,*,*,*,ā,エー,エー,0/2,C0
Ē,0,0,15000,名詞,サ変接続,*,*,*,*,Ē,オオモジイー,オオモジイー,0/6,C0
ē,0,0,15000,名詞,サ変接続,*,*,*,*,ē,イー,イー,0/2,C0
Ī,0,0,15000,名詞,サ変接続,*,*,*,*,Ī,オオモジアイ,オオモジアイ,0/6,C0
ī,0,0,15000,名詞,サ変接続,*,*,*,*,ī,アイ,アイ,0/2,C0
Ō,0,0,15000,名詞,サ変接続,*,*,*,*,Ō,オオモジオー,オオモジオー,0/6,C0
ō,0,0,15000,名詞,サ変接続,*,*,*,*,ō,オー,オー,0/2,C0
Œ,0,0,15000,名詞,サ変接続,*,*,*,*,Œ,オオモジオーイー,オオモジオーイー,0/8,C0
œ,0,0,15000,名詞,サ変接続,*,*,*,*,œ,オーイー,オーイー,0/4,C0
Ū,0,0,15000,名詞,サ変接続,*,*,*,*,Ū,オオモジユー,オオモジユー,0/6,C0
ū,0,0,15000,名詞,サ変接続,*,*,*,*,ū,ユー,ユー,0/2,C0
Ÿ,0,0,15000,名詞,サ変接続,*,*,*,*,Ÿ,ワイ,ワイ,0/2,C0
ƒ,0,0,15000,名詞,サ変接続,*,*,*,*,ƒ,フローリン,フローリン,0/5,C0
̂,0,0,15000,名詞,サ変接続,*,*,*,*,̂,正規化する,正規化する,0/5,C0
Ё,0,0,15000,名詞,サ変接続,*,*,*,*,Ё,ヨー,ヨー,0/2,C0
А,0,0,15000,名詞,サ変接続,*,*,*,*,А,アー,アー,0/2,C0
Б,0,0,15000,名詞,サ変接続,*,*,*,*,Б,ベー,ベー,0/2,C0
В,0,0,15000,名詞,サ変接続,*,*,*,*,В,ブエー,ブエー,0/3,C0
Г,0,0,15000,名詞,サ変接続,*,*,*,*,Г,ゲー,ゲー,0/2,C0
Д,0,0,15000,名詞,サ変接続,*,*,*,*,Д,デー,デー,0/2,C0
Е,0,0,15000,名詞,サ変接続,*,*,*,*,Е,イエー,イエー,0/3,C0
Ж,0,0,15000,名詞,サ変接続,*,*,*,*,Ж,ジエー,ジエー,0/3,C0
З,0,0,15000,名詞,サ変接続,*,*,*,*,З,ゼー,ゼー,0/2,C0
И,0,0,15000,名詞,サ変接続,*,*,*,*,И,イー,イー,0/2,C0
Й,0,0,15000,名詞,サ変接続,*,*,*,*,Й,イクラートカヤ,イクラートカヤ,0/7,C0
К,0,0,15000,名詞,サ変接続,*,*,*,*,К,カー,カー,0/2,C0
Л,0,0,15000,名詞,サ変接続,*,*,*,*,Л,エル,エル,0/2,C0
М,0,0,15000,名詞,サ変接続,*,*,*,*,М,エム,エム,0/2,C0
Н,0,0,15000,名詞,サ変接続,*,*,*,*,Н,エヌ,エヌ,0/2,C0
О,0,0,15000,名詞,サ変接続,*,*,*,*,О,オー,オー,0/2,C0
П,0,0,15000,名詞,サ変接続,*,*,*,*,П,ペー,ペー,0/2,C0
Р,0,0,15000,名詞,サ変接続,*,*,*,*,Р,エル,エル,0/2,C0
С,0,0,15000,名詞,サ変接続,*,*,*,*,С,エス,エス,0/2,C0
Т,0,0,15000,名詞,サ変接続,*,*,*,*,Т,テー,テー,0/2,C0
У,0,0,15000,名詞,サ変接続,*,*,*,*,У,ウー,ウー,0/2,C0
Ф,0,0,15000,名詞,サ変接続,*,*,*,*,Ф,エフ,エフ,0/2,C0
Х,0,0,15000,名詞,サ変接続,*,*,*,*,Х,ハー,ハー,0/2,C0
Ц,0,0,15000,名詞,サ変接続,*,*,*,*,Ц,ツェー,ツェー,0/3,C0
Ч,0,0,15000,名詞,サ変接続,*,*,*,*,Ч,チェー,チェー,0/3,C0
Ш,0,0,15000,名詞,サ変接続,*,*,*,*,Ш,シャー,シャー,0/3,C0
Щ,0,0,15000,名詞,サ変接続,*,*,*,*,Щ,シシャー,シシャー,0/4,C0
Ъ,0,0,15000,名詞,サ変接続,*,*,*,*,Ъ,ドビヨールドイエル,ドビヨールドイエル,0/9,C0
Ы,0,0,15000,名詞,サ変接続,*,*,*,*,Ы,ウイ,ウイ,0/2,C0
Ь,0,0,15000,名詞,サ変接続,*,*,*,*,Ь,イエリミヤーフキー,イエリミヤーフキー,0/9,C0
Э,0,0,15000,名詞,サ変接続,*,*,*,*,Э,エー,エー,0/2,C0
Ю,0,0,15000,名詞,サ変接続,*,*,*,*,Ю,ユー,ユー,0/2,C0
Я,0,0,15000,名詞,サ変接続,*,*,*,*,Я,ヤー,ヤー,0/2,C0
а,0,0,15000,名詞,サ変接続,*,*,*,*,а,アー,アー,0/2,C0
б,0,0,15000,名詞,サ変接続,*,*,*,*,б,ベー,ベー,0/2,C0
в,0,0,15000,名詞,サ変接続,*,*,*,*,в,ブエー,ブエー,0/3,C0
г,0,0,15000,名詞,サ変接続,*,*,*,*,г,ゲー,ゲー,0/2,C0
д,0,0,15000,名詞,サ変接続,*,*,*,*,д,デー,デー,0/2,C0
е,0,0,15000,名詞,サ変接続,*,*,*,*,е,イエー,イエー,0/3,C0
ж,0,0,15000,名詞,サ変接続,*,*,*,*,ж,ジェー,ジェー,0/3,C0
з,0,0,15000,名詞,サ変接続,*,*,*,*,з,ゼー,ゼー,0/2,C0
и,0,0,15000,名詞,サ変接続,*,*,*,*,и,イー,イー,0/2,C0
й,0,0,15000,名詞,サ変接続,*,*,*,*,й,イークラトコエ,イークラトコエ,0/7,C0
к,0,0,15000,名詞,サ変接続,*,*,*,*,к,カー,カー,0/2,C0
л,0,0,15000,名詞,サ変接続,*,*,*,*,л,エル,エル,0/2,C0
м,0,0,15000,名詞,サ変接続,*,*,*,*,м,エム,エム,0/2,C0
н,0,0,15000,名詞,サ変接続,*,*,*,*,н,エヌ,エヌ,0/2,C0
о,0,0,15000,名詞,サ変接続,*,*,*,*,о,オー,オー,0/2,C0
п,0,0,15000,名詞,サ変接続,*,*,*,*,п,ペー,ペー,0/2,C0
р,0,0,15000,名詞,サ変接続,*,*,*,*,р,エル,エル,0/2,C0
с,0,0,15000,名詞,サ変接続,*,*,*,*,с,エス,エス,0/2,C0
т,0,0,15000,名詞,サ変接続,*,*,*,*,т,テー,テー,0/2,C0
у,0,0,15000,名詞,サ変接続,*,*,*,*,у,ウー,ウー,0/2,C0
ф,0,0,15000,名詞,サ変接続,*,*,*,*,ф,エフ,エフ,0/2,C0
х,0,0,15000,名詞,サ変接続,*,*,*,*,х,ハー,ハー,0/2,C0
ц,0,0,15000,名詞,サ変接続,*,*,*,*,ц,ツェー,ツェー,0/3,C0
ч,0,0,15000,名詞,サ変接続,*,*,*,*,ч,チェー,チェー,0/3,C0
ш,0,0,15000,名詞,サ変接続,*,*,*,*,ш,シャー,シャー,0/3,C0
щ,0,0,15000,名詞,サ変接続,*,*,*,*,щ,シシャー,シシャー,0/4,C0
ъ,0,0,15000,名詞,サ変接続,*,*,*,*,ъ,トゥブョールドゥィズナーク,トゥブョールドゥィズナーク,0/13,C0
ы,0,0,15000,名詞,サ変接続,*,*,*,*,ы,ウイ,ウイ,0/2,C0
ь,0,0,15000,名詞,サ変接続,*,*,*,*,ь,ミヤーフキー,ミヤーフキー,0/6,C0
э,0,0,15000,名詞,サ変接続,*,*,*,*,э,エー,エー,0/2,C0
ю,0,0,15000,名詞,サ変接続,*,*,*,*,ю,ユー,ユー,0/2,C0
я,0,0,15000,名詞,サ変接続,*,*,*,*,я,ヤー,ヤー,0/2,C0
ё,0,0,15000,名詞,サ変接続,*,*,*,*,ё,ヨー,ヨー,0/2,C0
،,0,0,15000,名詞,サ変接続,*,*,*,*,،,カンマ,カンマ,0/3,C0
؛,0,0,15000,名詞,サ変接続,*,*,*,*,؛,セミコロン,セミコロン,0/5,C0
؟,0,0,15000,名詞,サ変接続,*,*,*,*,؟,ギモンフ,ギモンフ,0/4,C0
‎,0,0,15000,名詞,サ変接続,*,*,*,*,‎,ヒダリカラミギマーク,ヒダリカラミギマーク,0/10,C0
‏,0,0,15000,名詞,サ変接続,*,*,*,*,‏,ミギカラヒダリマーク,ミギカラヒダリマーク,0/10,C0
–,0,0,15000,名詞,サ変接続,*,*,*,*,–,エンダッシュ,エンダッシュ,0/6,C0
—,0,0,15000,名詞,サ変接続,*,*,*,*,—,エムダッシュ,エムダッシュ,0/6,C0
‚,0,0,15000,名詞,サ変接続,*,*,*,*,‚,ヒクイタンイツインヨウフ,ヒクイタンイツインヨウフ,0/12,C0
„,0,0,15000,名詞,サ変接続,*,*,*,*,„,ヒクイニジュウインヨウフ,ヒクイニジュウインヨウフ,0/12,C0
†,0,0,15000,名詞,サ変接続,*,*,*,*,†,ダガー,ダガー,0/3,C0
‡,0,0,15000,名詞,サ変接続,*,*,*,*,‡,ダブルダガー,ダブルダガー,0/6,C0
•,0,0,15000,名詞,サ変接続,*,*,*,*,•,ビュレット,ビュレット,0/5,C0
‣,0,0,15000,名詞,サ変接続,*,*,*,*,‣,サンカクビュレット,サンカクビュレット,0/9,C0
‰,0,0,15000,名詞,サ変接続,*,*,*,*,‰,パーミル,パーミル,0/4,C0
″,0,0,15000,名詞,サ変接続,*,*,*,*,″,ビョー,ビョー,0/3,C0
‴,0,0,15000,名詞,サ変接続,*,*,*,*,‴,トリプルプライム,トリプルプライム,0/8,C0
‼,0,0,15000,名詞,サ変接続,*,*,*,*,‼,ニジュウカンタンフ,ニジュウカンタンフ,0/9,C0
⁃,0,0,15000,名詞,サ変接続,*,*,*,*,⁃,ハイフンビュレット,ハイフンビュレット,0/9,C0
⁄,0,0,15000,名詞,サ変接続,*,*,*,*,⁄,分数スラッシュ,分数スラッシュ,0/7,C0
⁉,0,0,15000,名詞,サ変接続,*,*,*,*,⁉,ギモンフカンタンフ,ギモンフカンタンフ,0/9,C0
⁰,0,0,15000,名詞,サ変接続,*,*,*,*,⁰,ウワツキゼロ,ウワツキゼロ,0/6,C0
⁴,0,0,15000,名詞,サ変接続,*,*,*,*,⁴,ウワツキヨン,ウワツキヨン,0/6,C0
⁵,0,0,15000,名詞,サ変接続,*,*,*,*,⁵,ウワツキゴ,ウワツキゴ,0/5,C0
⁶,0,0,15000,名詞,サ変接続,*,*,*,*,⁶,ウワツキロク,ウワツキロク,0/6,C0
⁷,0,0,15000,名詞,サ変接続,*,*,*,*,⁷,ウワツキナナ,ウワツキナナ,0/6,C0
⁸,0,0,15000,名詞,サ変接続,*,*,*,*,⁸,ウワツキハチ,ウワツキハチ,0/6,C0
⁹,0,0,15000,名詞,サ変接続,*,*,*,*,⁹,ウワツキキュー,ウワツキキュー,0/7,C0
⁺,0,0,15000,名詞,サ変接続,*,*,*,*,⁺,ウワツキプラス,ウワツキプラス,0/7,C0
⁻,0,0,15000,名詞,サ変接続,*,*,*,*,⁻,ウワツキマイナス,ウワツキマイナス,0/8,C0
⁼,0,0,15000,名詞,サ変接続,*,*,*,*,⁼,ウワツキイコール,ウワツキイコール,0/8,C0
⁽,0,0,15000,名詞,サ変接続,*,*,*,*,⁽,ウワツキカッコ,ウワツキカッコ,0/7,C0
⁾,0,0,15000,名詞,サ変接続,*,*,*,*,⁾,ウワツキカッコトジ,ウワツキカッコトジ,0/9,C0
ⁿ,0,0,15000,名詞,サ変接続,*,*,*,*,ⁿ,ウワツキエヌ,ウワツキエヌ,0/6,C0
₀,0,0,15000,名詞,サ変接続,*,*,*,*,₀,シタツキゼロ,シタツキゼロ,0/6,C0
₁,0,0,15000,名詞,サ変接続,*,*,*,*,₁,シタツキイチ,シタツキイチ,0/6,C0
₂,0,0,15000,名詞,サ変接続,*,*,*,*,₂,シタツキニ,シタツキニ,0/5,C0
₃,0,0,15000,名詞,サ変接続,*,*,*,*,₃,シタツキサン,シタツキサン,0/6,C0
₄,0,0,15000,名詞,サ変接続,*,*,*,*,₄,シタツキヨン,シタツキヨン,0/6,C0
₅,0,0,15000,名詞,サ変接続,*,*,*,*,₅,シタツキゴ,シタツキゴ,0/5,C0
₆,0,0,15000,名詞,サ変接続,*,*,*,*,₆,シタツキロク,シタツキロク,0/6,C0
₇,0,0,15000,名詞,サ変接続,*,*,*,*,₇,シタツキナナ,シタツキナナ,0/6,C0
₈,0,0,15000,名詞,サ変接続,*,*,*,*,₈,シタツキハチ,シタツキハチ,0/6,C0
₉,0,0,15000,名詞,サ変接続,*,*,*,*,₉,シタツキキュー,シタツキキュー,0/7,C0
₊,0,0,15000,名詞,サ変接続,*,*,*,*,₊,シタツキプラス,シタツキプラス,0/7,C0
₋,0,0,15000,名詞,サ変接続,*,*,*,*,₋,シタツキマイナス,シタツキマイナス,0/8,C0
₌,0,0,15000,名詞,サ変接続,*,*,*,*,₌,シタツキイコール,シタツキイコール,0/8,C0
₍,0,0,15000,名詞,サ変接続,*,*,*,*,₍,シタツキカッコ,シタツキカッコ,0/7,C0
₎,0,0,15000,名詞,サ変接続,*,*,*,*,₎,シタツキカッコトジ,シタツキカッコトジ,0/9,C0
€,0,0,15000,名詞,サ変接続,*,*,*,*,€,ユーロ,ユーロ,0/3,C0
₹,0,0,15000,名詞,サ変接続,*,*,*,*,₹,ルピー,ルピー,0/3,C0
⃗,0,0,15000,名詞,サ変接続,*,*,*,*,⃗,ベクトル指示記号,ベクトル指示記号,0/8,C0
ℂ,0,0,15000,名詞,サ変接続,*,*,*,*,ℂ,複素数,複素数,0/3,C0
℃,0,0,15000,名詞,サ変接続,*,*,*,*,℃,ドシー,ドシー,0/3,C0
ℍ,0,0,15000,名詞,サ変接続,*,*,*,*,ℍ,クォータニオン,クォータニオン,0/7,C0
ℑ,0,0,15000,名詞,サ変接続,*,*,*,*,ℑ,複素数の虚部,複素数の虚部,0/6,C0
ℕ,0,0,15000,名詞,サ変接続,*,*,*,*,ℕ,自然数,自然数,0/3,C0
№,0,0,15000,名詞,サ変接続,*,*,*,*,№,ナンバー,ナンバー,0/4,C0
℘,0,0,15000,名詞,サ変接続,*,*,*,*,℘,冪集合,冪集合,0/3,C0
ℚ,0,0,15000,名詞,サ変接続,*,*,*,*,ℚ,有理数,有理数,0/3,C0
ℜ,0,0,15000,名詞,サ変接続,*,*,*,*,ℜ,複素数の実部,複素数の実部,0/6,C0
ℝ,0,0,15000,名詞,サ変接続,*,*,*,*,ℝ,実数,実数,0/2,C0
℠,0,0,15000,名詞,サ変接続,*,*,*,*,℠,サービスマーク,サービスマーク,0/7,C0
℡,0,0,15000,名詞,サ変接続,*,*,*,*,℡,デンワバンゴウ,デンワバンゴウ,0/7,C0
™,0,0,15000,名詞,サ変接続,*,*,*,*,™,ティーエム,ティーエム,0/5,C0
ℤ,0,0,15000,名詞,サ変接続,*,*,*,*,ℤ,整数,整数,0/2,C0
ℵ,0,0,15000,名詞,サ変接続,*,*,*,*,ℵ,アレフ数,アレフ数,0/4,C0
ℶ,0,0,15000,名詞,サ変接続,*,*,*,*,ℶ,ベート数,ベート数,0/4,C0
ℹ,0,0,15000,名詞,サ変接続,*,*,*,*,ℹ,ジョウホウゲン,ジョウホウゲン,0/7,C0
⅐,0,0,15000,名詞,サ変接続,*,*,*,*,⅐,ナナブンノイチ,ナナブンノイチ,0/7,C0
⅑,0,0,15000,名詞,サ変接続,*,*,*,*,⅑,キューブンノイチ,キューブンノイチ,0/8,C0
⅒,0,0,15000,名詞,サ変接続,*,*,*,*,⅒,ジューブンノイチ,ジューブンノイチ,0/8,C0
⅓,0,0,15000,名詞,サ変接続,*,*,*,*,⅓,サンブンノイチ,サンブンノイチ,0/7,C0
⅔,0,0,15000,名詞,サ変接続,*,*,*,*,⅔,サンブンノニ,サンブンノニ,0/6,C0
⅕,0,0,15000,名詞,サ変接続,*,*,*,*,⅕,ゴブンノイチ,ゴブンノイチ,0/6,C0
⅖,0,0,15000,名詞,サ変接続,*,*,*,*,⅖,ゴブンノニ,ゴブンノニ,0/5,C0
⅗,0,0,15000,名詞,サ変接続,*,*,*,*,⅗,ゴブンノサン,ゴブンノサン,0/6,C0
⅘,0,0,15000,名詞,サ変接続,*,*,*,*,⅘,ゴブンノヨン,ゴブンノヨン,0/6,C0
⅙,0,0,15000,名詞,サ変接続,*,*,*,*,⅙,ロクブンノイチ,ロクブンノイチ,0/7,C0
⅚,0,0,15000,名詞,サ変接続,*,*,*,*,⅚,ロクブンノゴ,ロクブンノゴ,0/6,C0
⅛,0,0,15000,名詞,サ変接続,*,*,*,*,⅛,ハチブンノイチ,ハチブンノイチ,0/7,C0
⅜,0,0,15000,名詞,サ変接続,*,*,*,*,⅜,ハチブンノサン,ハチブンノサン,0/7,C0
⅝,0,0,15000,名詞,サ変接続,*,*,*,*,⅝,ハチブンノゴ,ハチブンノゴ,0/6,C0
⅞,0,0,15000,名詞,サ変接続,*,*,*,*,⅞,ハチブンノナナ,ハチブンノナナ,0/7,C0
Ⅰ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅰ,ワン,ワン,0/2,C0
Ⅱ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅱ,ツー,ツー,0/2,C0
Ⅲ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅲ,スリー,スリー,0/3,C0
Ⅳ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅳ,フォー,フォー,0/3,C0
